tax_code,year,section,level,group,name,slug,unit,code_ul,code_fl,col_ul,col_fl,sort_order
tn,2011,3,1,,"свыше 35 л.с. (свыше 25,74 кВт)",s3--свыше-35-л-с-свыше-25-74-квт,единиц,1320,2320,,,19
tn,2011,3,2,,Автобусы с мощностью двигателя:,s3--автобусы-с-мощностью-двигателя,единиц,1321,2321,,,20
tn,2011,3,3,Автобусы с мощностью двигателя:,"до 200 л.с. (до 147,1 кВт) включительно",s3--до-200-л-с-до-147-1-квт-включительно,единиц,1322,2322,,,21
tn,2011,3,3,Автобусы с мощностью двигателя:,"свыше 200 л.с. (свыше 147,1 кВт)",s3--свыше-200-л-с-свыше-147-1-квт,единиц,1323,2323,,,22
tn,2011,3,2,,Автомобили грузовые с мощностью двигателя:,s3--автомобили-грузовые-с-мощностью-двигателя,единиц,1324,2324,,,23
tn,2011,3,3,Автомобили грузовые с мощностью двигателя:,"до 100 л.с. (до 73,55 кВт) включительно",s3--автомобили-грузовые-с-мощностью-двигателя--до-100-л-с-до-73-55-квт-включительно,единиц,1325,2325,,,24
tn,2011,3,3,Автомобили грузовые с мощностью двигателя:,"свыше 100 л.с. до 150 л.с. (свыше 73,55 кВт до 110,33 кВт) включительно",s3--автомобили-грузовые-с-мощностью-двигателя--свыше-100-л-с-до-150-л-с-свыше-73-55-квт-до-110-33-квт-включительно,единиц,1326,2326,,,25
tn,2011,3,3,Автомобили грузовые с мощностью двигателя:,"свыше 150 л.с. до 200 л.с. (свыше 110,33 кВт до 147,1 кВт) включительно",s3--автомобили-грузовые-с-мощностью-двигателя--свыше-150-л-с-до-200-л-с-свыше-110-33-квт-до-147-1-квт-включительно,единиц,1327,2327,,,26
tn,2011,3,3,Автомобили грузовые с мощностью двигателя:,"свыше 200 л.с. до 250 л.с. (свыше 147,1 кВт до 183,9 кВт) включительно",s3--автомобили-грузовые-с-мощностью-двигателя--свыше-200-л-с-до-250-л-с-свыше-147-1-квт-до-183-9-квт-включительно,единиц,1328,2328,,,27
tn,2011,3,3,Автомобили грузовые с мощностью двигателя:,"свыше 250 л.с. (свыше 183,9 кВт)",s3--автомобили-грузовые-с-мощностью-двигателя--свыше-250-л-с-свыше-183-9-квт,единиц,1329,2329,,,28
tn,2011,3,2,,"Другие самоходные транспортные средства, машины и механизмы на пневматическом и гусеничном ходу",s3--другие-самоходные-транспортные-средства-машины-и-механизмы-на-пневматическом-и-гусеничном-ходу,единиц,1330,2330,,,29
tn,2011,3,2,,"Снегоходы, мотосани с мощностью двигателя:",s3--снегоходы-мотосани-с-мощностью-двигателя,единиц,1331,2331,,,30
tn,2011,3,3,"Снегоходы, мотосани с мощностью двигателя:","до 50 л.с. (до 36,77 кВт) включительно",s3--до-50-л-с-до-36-77-квт-включительно,единиц,1332,2332,,,31
